Reporting Period,Project Number,City,County,State,Zip Code,Sector,Latitude ,Longitude
03/31/19,02029-017,Albany,Albany,NY,12202,Non-Residential,42.638282,-73.76203
03/31/19,02006-047,Albany,Albany,NY,12204,Non-Residential,42.684133,-73.734184
03/31/19,02006-039,Latham,Albany,NY,12110,Non-Residential,42.750728,-73.770061
03/31/19,37877A-1,Delmar,Albany,NY,12054,Non-Residential,42.612026,-73.848428
03/31/19,51009-1,Selkirk,Albany,NY,12158,Non-Residential,42.545755,-73.816841
03/31/19,37876A-1,Delamr,Albany,NY,12054,Non-Residential,42.612026,-73.848428
03/31/19,51016-1,Selkirk,Albany,NY,12158,Non-Residential,42.545755,-73.816841
03/31/19,51015-1,Selkirk,Albany,NY,12158,Non-Residential,42.545755,-73.816841
03/31/19,31297-1,Delmar,Albany,NY,12067,Non-Residential,42.562255,-73.919858
03/31/19,33509A-1,Albany,Albany,NY,12205,Non-Residential,42.712719,-73.824203
03/31/19,51014-1,Selkirk,Albany,NY,12158,Non-Residential,42.545755,-73.816841
03/31/19,72090,Latham,Albany,NY,12110,Non-Residential,42.750728,-73.770061
03/31/19,71988,Waterford,Albany,NY,12188,Non-Residential,42.815297,-73.699726
03/31/19,73002,Voorheesville,Albany,NY,12186,Non-Residential,42.634962,-73.965431
03/31/19,75014,Albany,Albany,NY,12205,Non-Residential,42.712719,-73.824203
03/31/19,75909,Albany,Albany,NY,12203,Non-Residential,42.680815,-73.836193
03/31/19,78318,Greenville,Albany,NY,12083,Non-Residential,42.426414,-74.03142
03/31/19,78739,Altamont,Albany,NY,12009,Non-Residential,42.700923,-74.026413
03/31/19,81238,Albany,Albany,NY,12208,Non-Residential,42.655144,-73.803265
03/31/19,84077,Westerlo,Albany,NY,12193,Non-Residential,42.514641,-74.045265
03/31/19,88880,Delmar,Albany,NY,12054,Non-Residential,42.612026,-73.848428
03/31/19,91704,Latham,Albany,NY,12110,Non-Residential,42.750728,-73.770061
03/31/19,91172,Slingerlands,Albany,NY,12159,Non-Residential,42.646421,-73.874892
03/31/19,96421,Albany,Albany,NY,12203,Non-Residential,42.680815,-73.836193
03/31/19,98427,Albany,Albany,NY,12209,Non-Residential,42.641021,-73.788025
03/31/19,98448,Albany,Albany,NY,12209,Non-Residential,42.641021,-73.788025
03/31/19,101057,Albany,Albany,NY,12203,Non-Residential,42.680815,-73.836193
03/31/19,101085,Albany,Albany,NY,12203,Non-Residential,42.680815,-73.836193
03/31/19,106817,Albany,Albany,NY,12205,Non-Residential,42.712719,-73.824203
03/31/19,105489,Albany,Albany,NY,12202,Non-Residential,42.638282,-73.76203
03/31/19,106835,Albany,Albany,NY,12205,Non-Residential,42.712719,-73.824203
03/31/19,106831,Albany,Albany,NY,12205,Non-Residential,42.712719,-73.824203
03/31/19,106833,Albany,Albany,NY,12205,Non-Residential,42.712719,-73.824203
03/31/19,113369,Altamont,Albany,NY,12085,Non-Residential,42.704694,-73.966106
03/31/19,4356-19899,Watervliet,Albany,NY,12189,Non-Residential,42.732068,-73.712974
03/31/19,126521,Medusa,Albany,NY,12120,Non-Residential,42.459153,-74.140795
