Reporting Period,Project Number,City,County,State,Zip Code,Sector,Latitude ,Longitude
43555,78748,Johnstown,Fulton,NY,12095,Non-Residential,43.023495,-74.394891
43555,80647,Johnstown,Fulton,NY,12078,Non-Residential,43.082755,-74.343858
43555,100273,Johnstown,Fulton,NY,12095,Non-Residential,43.023495,-74.394891
43555,100669,Johnstown,Fulton,NY,12095,Non-Residential,43.023495,-74.394891
43555,98998,Johnstown,Fulton,NY,12095,Non-Residential,43.023495,-74.394891
43555,114270,Gloversville,Fulton,NY,12078,Non-Residential,43.082755,-74.343858
43555,163631,Johnstown,Fulton,NY,12078,Non-Residential,43.082755,-74.343858
43555,175352,Johnstown,Fulton,NY,12095,Non-Residential,43.023495,-74.394891
43555,4362-35663,Gloversville,Fulton,NY,12078,Non-Residential,43.082755,-74.343858
43555,4362-38075,Mayfield,Fulton,NY,12117,Non-Residential,43.152959,-74.240928
43555,4362-35689,Gloversville,Fulton,NY,12078,Non-Residential,43.082755,-74.343858
43555,4604-80761,Northville,Fulton,NY,12134,Non-Residential,43.24718,-74.165285
43555,4694-36159,Amsterdam,Fulton,NY,12010,Non-Residential,42.937079,-74.182795
43555,4704-91875,Gloversville,Fulton,NY,12078,Non-Residential,43.082755,-74.343858
43555,4704-100929,Broadalbin,Fulton,NY,12025,Non-Residential,43.080453,-74.145651
43555,4937-55662,Broadalbin,Fulton,NY,12025,Non-Residential,43.080453,-74.145651
43555,4937-39736,Gloversville,Fulton,NY,12078,Non-Residential,43.082755,-74.343858
43555,5093-42215,Gloversville,Fulton,NY,12078,Non-Residential,43.082755,-74.343858
43555,5167-98165,Johnstown,Fulton,NY,12095,Non-Residential,43.023495,-74.394891
43555,5167-98166,Johnstown,Fulton,NY,12095,Non-Residential,43.023495,-74.394891
43555,5401-98345,Broadalbin,Fulton,NY,12025,Non-Residential,43.080453,-74.145651
43555,5401-98348,Johnstown,Fulton,NY,12095,Non-Residential,43.023495,-74.394891
43555,02021-001,Blue Mountain Lake,Hamilton,NY,12812,Non-Residential,43.860052,-74.406756
43555,127526,Raquette Lake,Hamilton,NY,13436,Non-Residential,43.773748,-74.622476
43555,4119-016,Lake Pleasant,Hamilton,NY,12108,Non-Residential,43.555505,-74.434985
43555,4119-31911,Lake Pleasant,Hamilton,NY,12108,Non-Residential,43.555505,-74.434985
43555,4561-27846,Long Lake,Hamilton,NY,12847,Non-Residential,43.971585,-74.420464
43555,5051-98489,Blue Mountain Lake,Hamilton,NY,12812,Non-Residential,43.860052,-74.406756
43555,02011-032,Old Forge,Herkimer,NY,13420,Non-Residential,43.73549,-74.91032
43555,48528,Frankfort,Herkimer,NY,13340,Non-Residential,43.050515,-75.115762
43555,49826-1,Rome,Herkimer,NY,13441,Non-Residential,43.220254,-75.408994
43555,98422,Herkimer,Herkimer,NY,13350,Non-Residential,43.046568,-74.988232
43555,98416,Herkimer,Herkimer,NY,13350,Non-Residential,43.046568,-74.988232
43555,125990,Manheim,Herkimer,NY,13329,Non-Residential,43.10872,-74.733339
