Reporting Period,Project Number,Legacy Project Number,City,County,State,Zip Code,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Affordable Solar,Community Distributed Generation,Green Jobs Green New York Participant,Georeference
44227,210950,,Jordanville,Herkimer,NY,13361,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,43713,43819,Complete,"Paradise Energy Solutions, LLC",SMA America,SB5.0-1SP-US-40 [240V],2,AXITEC,AC-320P/72S,42,49770,6048,13.44,14636,,No,No,No,POINT (-74.859056 42.899207)
44227,598,4611-21986,Rome,Oneida,NY,13440,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,,40581,40980,Complete,"CNY Solar, Inc.",Enphase Energy,M215-60-2LL-S2X,15,SolarWorld,SW245 mono,15,22976,6431,3.68,3692,,No,No,No,POINT (-75.454665 43.214717)
44227,49218,4260-19744,Sackets Harbor,Jefferson,NY,13685,Non-Residential,Residential/Small Commercial,PON 1050,National Grid,,40297,40570,Complete,"Fourth Coast, Inc",SMA America,SB4000US (240V),1,Sharp,ND-224UC1,18,40603,7245,4.03,1979,,No,No,No,POINT (-76.100664 43.936538)
44227,77085,,Parish,Oswego,NY,13131,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42753,42838,Complete,"Paradise Energy Solutions, LLC",SolarEdge Technologies,SE 11400A-US (240V),1,AXITEC,AC-310P/156-72S,45,40600,5580,13.95,16609,,No,No,No,POINT (-76.098964 43.416461)
44227,96654,,Queensbury,Warren,NY,12804,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42966,43028,Complete,"Apex Solar Power, LLC",SMA America,SB7000TL-US (240V),2,SunEdison,MEMC-F270KzC-2y,69,68502,7452,18.63,17354,,No,No,No,POINT (-73.676867 43.335343)
44227,26774,4281-44127,Norfolk,St. Lawrence,NY,13667,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,41834,42159,Complete,Northern Lights Energy,SolarEdge Technologies,SE 7600A-US (240V),1,SolarWorld,SW 280 Mono,30,29820,8400,8.4,9022,Yes,No,No,No,POINT (-74.96406 44.831433)
44227,34939,4611-64583,New HArtford,Oneida,NY,13413,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Power Purchase Agreement,42137,42747,Complete,"CNY Solar, Inc.",SolarEdge Technologies,SE 7600A-US (240V),1,AXITEC,AC-310P/156-72S,32,34719,5952,9.92,12530,,No,No,No,POINT (-75.287002 43.066343)
44227,92745,,Pulaski,Oswego,NY,13142,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42941,42997,Complete,"Paradise Energy Solutions, LLC",SolarEdge Technologies,SE11400A-US (240V),1,AXITEC,AC-320P/156-72S,45,40240,5760,14.4,16051,,No,No,No,POINT (-76.134908 43.555712)
44227,49726,4260-27762,Cape Vincent,Jefferson,NY,13618,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,41040,41401,Complete,"Fourth Coast, Inc",Enphase Energy,M215-60-2LL-S2X,18,Sharp,ND-240QCJ,18,16200,6480,4.32,4411,,No,No,No,POINT (-76.28933 44.116337)
44227,118694,,Chestertown,Warren,NY,12817,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,43242,43308,Complete,Hudson Solar,SunPower,SPR-E20-327-D-AC [240V],47,SunPower,SPR-E20-327-D-AC,47,55407,6148,15.37,14317,,No,No,No,POINT (-73.821038 43.640111)
44227,66040,4548-102876,Diamond Point,Warren,NY,12824,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42612,42838,Complete,"Monolith Solar Associates, LLC",SolarEdge Technologies,SE 7600A-US (240V),2,Trina Solar,TSM-340DD14A(II),52,99770.4,7072,17.68,18076,,No,No,No,POINT (-73.706801 43.525879)
44227,71331,,Pulaski,Oswego,NY,13142,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42668,42703,Complete,"Paradise Energy Solutions, LLC",SolarEdge Technologies,SE 11400A-US (240V),1,AXITEC,AC-310P/156-72S,45,38960,5580,13.95,17808,,No,No,No,POINT (-76.134908 43.555712)
44227,49719,4260-27826,Cape Vincent,Jefferson,NY,13618,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,41040,41401,Complete,"Fourth Coast, Inc",Enphase Energy,M215-60-2LL-S2X-NA,24,Sharp,ND-240QCJ,24,21600,8640,5.76,5881,,No,No,No,POINT (-76.28933 44.116337)
44227,70518,,Ballston Spa,Saratoga,NY,12020,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42668,42732,Complete,"Lotus Energy, Inc.",SunPower,SPR-X22-360-C-AC,42,SunPower,SPR-X22-360-C-AC,42,63926,6048,15.12,18875,,No,No,No,POINT (-73.854217 43.004269)
44227,205098,,Saratoga Springs,Saratoga,NY,12866,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,43722,43847,Complete,Kasselman Solar LLC,SolarEdge Technologies Ltd.,SE7600H-US [240V],2,LG Electronics Inc.,LG320N1K-V5,38,35800,5472,12.16,11374,,No,No,No,POINT (-73.759248 43.07772)
44227,117694,,Oswego,Oswego,NY,13126,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,43257,43308,Complete,"Paradise Energy Solutions, LLC",SolarEdge Technologies Ltd.,SE6000H-US [240V],2,PEIMAR,SG325P,65,51390,8450,21.13,25955,,No,No,No,POINT (-76.474421 43.440456)
44227,48136,4260-102080,De Kalb Junction,St. Lawrence,NY,13630,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42591,42776,Complete,"Fourth Coast, Inc",SolarEdge Technologies,SE9K,2,SolarWorld,Protect SW 285 Mono,76,57240,8512,21.28,27401,,No,No,No,POINT (-75.307922 44.497236)
44227,79631,,Camden,Oneida,NY,13316,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42769,42853,Complete,"Alternative Power Solutions of NY, LLC",SMA Solar Technology,SB7.7-1SP-US-40 (240V),2,Kyocera Solar,KU265-6MCA,60,68175,6360,15.9,20133,,No,No,No,POINT (-75.755941 43.371679)
44227,53164,5172-61440,Black River,Jefferson,NY,13612,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42089,42206,Complete,"Black River Plumbing, Heating and Air Conditioning Inc.",SolarEdge Technologies,SE7600 (240V),1,SolarWorld,SW 280 Mono,34,23293,6664,9.52,9416,No,No,No,No,POINT (-75.774042 43.993709)
44227,109458,,Redwood,Jefferson,NY,13679,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,43110,43227,Complete,Proven Energy Systems,SolarEdge Technologies Ltd.,SE6000H-US,2,Canadian Solar,CS6U-330P,44,39204,5808,14.52,15828,,No,No,No,POINT (-75.777416 44.325418)
44227,271813,,Ausable Forks,Clinton,NY,12912,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,44155,,Pipeline,,SolarEdge Technologies Ltd.,SE7600H-US [240V],2,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,48,39869.3,5712,16.32,18726,,No,No,No,POINT (-73.741216 44.465018)
44227,78517,,Plattsburgh,Clinton,NY,12901,Non-Residential,Residential/Small Commercial,PON 2112,NYS Electric and Gas,Purchase,42743,43164,Complete,Triangle Electrical Systems,SMA America,SB5.0-1SP-US-40 (240V),4,Hanwha Q CELLS,Q.PEAK BLK-G4.1 295,72,71300,8496,21.24,0,,No,No,No,POINT (-73.468706 44.701677)
44227,66933,4260-35980,Cape Vincent,Jefferson,NY,13618,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,41579,41801,Complete,"Fourth Coast, Inc",Enphase Energy,M215-60-2LL-S2X,27,Sharp,ND-250QCS,27,23625,7763,6.75,6568,No,No,No,No,POINT (-76.28933 44.116337)
44227,13429,4260-35806,Alexandria,Jefferson,NY,13607,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,41576,41753,Complete,"Fourth Coast, Inc",Fronius USA,IG Plus 5.0-240,1,Sharp,ND-250QCS,20,16250,6500,5,4498,Yes,No,No,No,POINT (-75.929396 44.317344)
44227,192799,,Hammond,St. Lawrence,NY,13646,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,43664,43685,Complete,Proven Energy Systems,SolarEdge Technologies Ltd.,SE10000H-US [240V],1,Canadian Solar Inc.,CS6K-300MS,42,35910,5670,12.6,13051,,No,No,No,POINT (-75.681701 44.44678)
44227,1077,02023-004,Canton,St. Lawrence,NY,13617,Non-Residential,Residential/Small Commercial,PON 716,National Grid,,38230,38380,Complete,Vermont Solar Engineering,SMA America,SWR2500U (240V),1,Schott Solar,,6,16105.1,6840,1.8,1676,,No,No,No,POINT (-75.1409 44.58107)
44227,87940,,Gouverneur,St. Lawrence,NY,13642,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42863,42936,Complete,Proven Energy Systems,SolarEdge Technologies,SE6000 (240V),2,Canadian Solar,CS6K-295MS,59,48734,6962,17.41,17447,,No,No,Yes,POINT (-75.467222 44.328848)
44227,72022,,Copenhagen,Lewis,NY,13626,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42676,42908,Complete,"Fourth Coast, Inc",Fronius USA,Fronius Primo 7.6-1 @ 240 VAC,2,Q-Cells North America,Q.Peak 265,56,41526.14,5936,14.84,15493,,No,No,No,POINT (-75.717457 43.851021)
44227,118135,,Utica,Oneida,NY,13501,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,43208,43396,Complete,"CNY Solar, Inc.",SolarEdge Technologies Ltd.,SE7600H-US [240V],1,Canadian Solar Inc.,CS6K-290MS,54,55518,6264,15.66,17236,,No,No,No,POINT (-75.228495 43.085324)
44227,26180,4260-41834,Ogdensburg,St. Lawrence,NY,13669,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,41778,41911,Complete,"Fourth Coast, Inc",Enphase Energy,M215-60-2LL-S2X-IG,28,SolarWorld,SW250 Mono Black,28,21210,7000,7,6920,No,No,No,No,POINT (-75.506864 44.652305)
44227,22999,4260-29458,Lisbon,St. Lawrence,NY,13658,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,41177,41372,Complete,"Fourth Coast, Inc",Enphase Energy,M215-60-2LL-S2X,24,Sharp,ND-240QCJ,24,23040,8640,5.76,7230,,No,No,No,POINT (-75.278836 44.735867)
44227,67083,4662-52531,Charlton,Saratoga,NY,12019,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,41955,42017,Complete,Vanguard Energy (dba for CSI),SMA America,SB5000US (240V),2,SunPower,SPR-X20-327,30,47108,8829,9.81,13104,No,No,No,No,POINT (-73.865824 42.926649)
44227,1334,4260-29055,Russell,St. Lawrence,NY,13684,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,41143,41262,Complete,"Fourth Coast, Inc",Fronius USA,IG Plus V 5.0-240,1,SolarWorld,SW240 Poly,21,18900,7560,5.04,5148,,No,No,No,POINT (-75.060779 44.377162)
44227,66587,4301-20446,Granville,Washington,NY,12832,Non-Residential,Residential/Small Commercial,PON 2112,NYS Electric and Gas,,40360,40620,Complete,"Positive Energy NY, LLC",Fronius USA,IG Plus 11.4-240,1,Canadian Solar,CS6P-230,48,91280,19320,11.04,15894,,No,No,No,POINT (-73.314608 43.371633)
44227,31454,5196-57292,Ballston Spa,Saratoga,NY,12020,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42025,42130,Complete,"Solar Project Solutions, Inc",SMA America,STP15000TL-US-10 (480V),2,Canadian Solar,CS6X-310P,112,93744,24304,34.72,45438,No,No,No,No,POINT (-73.854217 43.004269)
44227,11332,4224-24166,Argyle,Washington,NY,12809,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,,40808,41022,Complete,"Inverters Unlimited, Inc.",SMA America,SB5000US (240V),2,Sharp,NU-U235F1,50,92950,20563,11.75,12917,,No,No,No,POINT (-73.459071 43.238387)
44227,53424,4533-61733,Queensbury,Warren,NY,12804,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42095,42166,Complete,"Apex Solar Power, LLC",SolarEdge Technologies,SE6000 (240V) w/ -ER-US or A-US,2,Trina Solar,TSM-250PA05,60,41250,10500,15,15060,No,No,No,No,POINT (-73.676867 43.335343)
44227,155910,,Queensbury,Warren,NY,12804,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,43386,43451,Complete,"Solar Liberty Energy Systems, Inc.",SolarEdge Technologies Ltd.,SE14.4KUS [208V],2,SolarWorld Americas Inc,Sunmodule Plus SWA 300 mono,128,86106,17145,38.4,37079,,No,No,No,POINT (-73.676867 43.335343)
44227,49789,4375-30309,Malta,Saratoga,NY,12020,Non-Residential,Residential/Small Commercial,PON 2112,NYS Electric and Gas,Purchase,41232,41299,Complete,New York Light Energy LLC,Fronius USA,IG Plus V 11.4-208,1,Kyocera Solar,KD245GX-LPB,48,63739,17640,11.76,14813,,No,No,No,POINT (-73.854217 43.004269)
44227,33010,4533-59563,North Creek,Warren,NY,12853,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42058,42178,Complete,"Apex Solar Power, LLC",SolarEdge Technologies,SE 7600A-US (208V),4,Axitec,AC-250P/156-60S,128,104000,22400,32,30043,Yes,No,No,No,POINT (-73.94678 43.69874)
44227,64029,4533-98054,Hudson Falls,Washington,NY,12839,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42500,42605,Complete,"Apex Solar Power, LLC",SolarEdge Technologies,SE 11400A-US (240V),3,Trina Solar,TSM-260PA05,155,119961.01,16120,40.3,42284,Yes,No,No,No,POINT (-73.563388 43.330298)
