ï..Reporting.Period,Project.Number,City,County,State,Zip.Code,Sector,Latitude,Longitude,NAME,ABBREV,GNIS_ID,POP1990,POP2000,POP2010,NYC,SP_ZONE,DOS_LL,DOSLL_DATE,DATEMOD,COUNTYFIPS,SWIS,CALC_SqMi,name_2,abbrev_2,gnis_id_2,datemod_2,DESCR,calc_sqmi_
03/31/19,02005-006,Plattsburgh,Clinton,NY,"12901",Non-Residential,44.701677,-73.468706,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,02086-003,Ray Brook,Essex,NY,"12977",Non-Residential,44.299953,-74.084491,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"72237",Town Of St Armand,Essex,NY,"12913",Non-Residential,44.417908,-74.016083,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"73329",Keene Valley,Essex,NY,"12943",Non-Residential,44.178077,-73.779495,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"73231",Port Henry,Essex,NY,"12974",Non-Residential,44.047815,-73.471316,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"79752",Keene Valley,Essex,NY,"12943",Non-Residential,44.178077,-73.779495,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"120664",Ausable Forks,Essex,NY,"12912",Non-Residential,44.465018,-73.741216,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"162006",Wilmington,Essex,NY,"12997",Non-Residential,44.389116,-73.81582,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"175703",Keene,Essex,NY,"12942",Non-Residential,44.259931,-73.785045,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"174355",North Hudson,Essex,NY,"12855",Non-Residential,44.001257,-73.753848,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4006-20531,Westport,Essex,NY,"12993",Non-Residential,44.204005,-73.474091,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4011-19649,Essex,Essex,NY,"12936",Non-Residential,44.278462,-73.398691,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4116-184,Newcomb,Essex,NY,"12852",Non-Residential,43.981527,-74.146011,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4244-20079,Essex,Essex,NY,"12936",Non-Residential,44.278462,-73.398691,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4206-20442,Willsboro,Essex,NY,"12996",Non-Residential,44.366265,-73.404959,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4244-20808,Essex,Essex,NY,"12936",Non-Residential,44.278462,-73.398691,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4318-001,North Hudson,Essex,NY,"12855",Non-Residential,44.001257,-73.753848,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4533-86275,Keene Valley,Essex,NY,"12943",Non-Residential,44.178077,-73.779495,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4958-37016,Westport,Essex,NY,"12993",Non-Residential,44.204005,-73.474091,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,5226-55351,Minerva,Essex,NY,"12851",Non-Residential,43.813574,-74.009981,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,5226-55352,Olmstedville,Essex,NY,"12857",Non-Residential,43.842591,-74.016341,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"82329",Akwesasne,Franklin,NY,"13655",Non-Residential,44.979315,-74.658628,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"153169",Vermontville,Franklin,NY,"12989",Non-Residential,44.531418,-74.0703,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"173558",Harrietstown,Franklin,NY,"12987",Non-Residential,44.328955,-73.777439,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"171869",Constable,Franklin,NY,"12926",Non-Residential,44.950246,-74.324301,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4011-43668,Malone,Franklin,NY,"12953",Non-Residential,44.785967,-74.270547,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4533-76295,Saranac Lake,Franklin,NY,"12983",Non-Residential,44.33657,-74.210823,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4697-50101,Chateaugay,Franklin,NY,"12920",Non-Residential,44.901726,-74.063438,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4697-50102,Chateaugay,Franklin,NY,"12920",Non-Residential,44.901726,-74.063438,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,5051-76183,Paul Smiths,Franklin,NY,"12970",Non-Residential,44.4643,-74.243257,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,5079-38890,Malone,Franklin,NY,"12953",Non-Residential,44.785967,-74.270547,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,5079-38862,Malone,Franklin,NY,"12953",Non-Residential,44.785967,-74.270547,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,5079-38863-AG,Malone,Franklin,NY,"12953",Non-Residential,44.785967,-74.270547,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,5286-66259,Malone,Franklin,NY,"12953",Non-Residential,44.785967,-74.270547,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,5286-93245,Malone,Franklin,NY,"12953",Non-Residential,44.785967,-74.270547,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,02005-055,Johnstown,Fulton,NY,"12095",Non-Residential,43.023495,-74.394891,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,49762A-1,Johnstown,Fulton,NY,"12095",Non-Residential,43.023495,-74.394891,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,51017-1,Johnstown,Fulton,NY,"12095",Non-Residential,43.023495,-74.394891,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,49806-1,Oppenheim,Fulton,NY,"13452",Non-Residential,43.030313,-74.628407,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,51010-1,Johnstown,Fulton,NY,"12095",Non-Residential,43.023495,-74.394891,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,51013-1,Johnstown,Fulton,NY,"12095",Non-Residential,43.023495,-74.394891,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,51012-1,Johnstown,Fulton,NY,"12095",Non-Residential,43.023495,-74.394891,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"78745",Johnstown,Fulton,NY,"12095",Non-Residential,43.023495,-74.394891,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"78743",Oppenheim,Fulton,NY,"13452",Non-Residential,43.030313,-74.628407,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"78748",Johnstown,Fulton,NY,"12095",Non-Residential,43.023495,-74.394891,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"80647",Johnstown,Fulton,NY,"12078",Non-Residential,43.082755,-74.343858,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"100273",Johnstown,Fulton,NY,"12095",Non-Residential,43.023495,-74.394891,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"100669",Johnstown,Fulton,NY,"12095",Non-Residential,43.023495,-74.394891,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"98998",Johnstown,Fulton,NY,"12095",Non-Residential,43.023495,-74.394891,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"114270",Gloversville,Fulton,NY,"12078",Non-Residential,43.082755,-74.343858,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"163631",Johnstown,Fulton,NY,"12078",Non-Residential,43.082755,-74.343858,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"175352",Johnstown,Fulton,NY,"12095",Non-Residential,43.023495,-74.394891,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4362-35663,Gloversville,Fulton,NY,"12078",Non-Residential,43.082755,-74.343858,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4362-38075,Mayfield,Fulton,NY,"12117",Non-Residential,43.152959,-74.240928,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4362-35689,Gloversville,Fulton,NY,"12078",Non-Residential,43.082755,-74.343858,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4604-80761,Northville,Fulton,NY,"12134",Non-Residential,43.24718,-74.165285,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4704-91875,Gloversville,Fulton,NY,"12078",Non-Residential,43.082755,-74.343858,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4704-100929,Broadalbin,Fulton,NY,"12025",Non-Residential,43.080453,-74.145651,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4937-55662,Broadalbin,Fulton,NY,"12025",Non-Residential,43.080453,-74.145651,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4937-39736,Gloversville,Fulton,NY,"12078",Non-Residential,43.082755,-74.343858,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,5093-42215,Gloversville,Fulton,NY,"12078",Non-Residential,43.082755,-74.343858,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,5167-98165,Johnstown,Fulton,NY,"12095",Non-Residential,43.023495,-74.394891,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,5167-98166,Johnstown,Fulton,NY,"12095",Non-Residential,43.023495,-74.394891,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,5401-98345,Broadalbin,Fulton,NY,"12025",Non-Residential,43.080453,-74.145651,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,5401-98348,Johnstown,Fulton,NY,"12095",Non-Residential,43.023495,-74.394891,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,02021-001,Blue Mountain Lake,Hamilton,NY,"12812",Non-Residential,43.860052,-74.406756,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"127526",Raquette Lake,Hamilton,NY,"13436",Non-Residential,43.773748,-74.622476,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4119-016,Lake Pleasant,Hamilton,NY,"12108",Non-Residential,43.555505,-74.434985,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4119-31911,Lake Pleasant,Hamilton,NY,"12108",Non-Residential,43.555505,-74.434985,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4561-27846,Long Lake,Hamilton,NY,"12847",Non-Residential,43.971585,-74.420464,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,5051-98489,Blue Mountain Lake,Hamilton,NY,"12812",Non-Residential,43.860052,-74.406756,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,02011-032,Old Forge,Herkimer,NY,"13420",Non-Residential,43.73549,-74.91032,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"48528",Frankfort,Herkimer,NY,"13340",Non-Residential,43.050515,-75.115762,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,49826-1,Rome,Herkimer,NY,"13441",Non-Residential,43.220254,-75.408994,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"98422",Herkimer,Herkimer,NY,"13350",Non-Residential,43.046568,-74.988232,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"98416",Herkimer,Herkimer,NY,"13350",Non-Residential,43.046568,-74.988232,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"125990",Manheim,Herkimer,NY,"13329",Non-Residential,43.10872,-74.733339,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"125979",Manheim,Herkimer,NY,"13329",Non-Residential,43.10872,-74.733339,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"164386",Frankfort,Herkimer,NY,"13340",Non-Residential,43.050515,-75.115762,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,"165081",Little Falls,Herkimer,NY,"13365",Non-Residential,43.060591,-74.847449,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4001-23158,Little Falls,Herkimer,NY,"13365",Non-Residential,43.060591,-74.847449,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4211-36633,West Winfield,Herkimer,NY,"13491",Non-Residential,42.865873,-75.177789,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4362-64899,Frankfort,Herkimer,NY,"13340",Non-Residential,43.050515,-75.115762,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4362-64898,Manheim,Herkimer,NY,"13329",Non-Residential,43.10872,-74.733339,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4439-31598,Middleville,Herkimer,NY,"13406",Non-Residential,43.137474,-74.925361,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4533-38503,Herkimer,Herkimer,NY,"13350",Non-Residential,43.046568,-74.988232,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4611-26468,Newport,Herkimer,NY,"13416",Non-Residential,43.183538,-74.96782,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
03/31/19,4611-40897,Newport,Herkimer,NY,"13416",Non-Residential,43.183538,-74.96782,Fulton,FULT,"974116","54191","55073","55531",N,East,,,,"035","170000",532.56515,New York,NY,"1779796",2017/01/18,shoreline boundary representation,48421.61936
